Commodity,CalendarDay,UOM,MandiWholeSalePrice,TimeFrame,Source
Groundnut,2023-03-14,Rs/Qtl,6588.11,Three years ago as on 2023-03-14,Agmarknet (via API)
Groundnut,2024-03-14,Rs/Qtl,6256.2,Two years ago as on 2024-03-14,Agmarknet (via API)
Groundnut,2025-03-14,Rs/Qtl,6625.49,An year ago as on 2025-03-14,Agmarknet (via API)
Groundnut,2026-02-14,Rs/Qtl,8278.47,A Month ago as on 2026-02-14,Agmarknet (via API)
Groundnut,2026-02-21,Rs/Qtl,8110.02,Three weeks ago as on 2026-02-21,Agmarknet (via API)
Groundnut,2026-02-28,Rs/Qtl,9143.92,Two weeks ago as on 2026-02-28,Agmarknet (via API)
Groundnut,2026-03-07,Rs/Qtl,8232.62,A week ago as on 2026-03-07,Agmarknet (via API)
Groundnut,2026-03-14,Rs/Qtl,7388.28,Price as on 2026-03-14,Agmarknet (via API)
Rapeseed & Mustard,2023-03-14,Rs/Qtl,4913.62,Three years ago as on 2023-03-14,Agmarknet (via API)
Rapeseed & Mustard,2024-03-14,Rs/Qtl,4971.89,Two years ago as on 2024-03-14,Agmarknet (via API)
Rapeseed & Mustard,2025-03-14,Rs/Qtl,5583.92,An year ago as on 2025-03-14,Agmarknet (via API)
Rapeseed & Mustard,2026-02-14,Rs/Qtl,6078.14,A Month ago as on 2026-02-14,Agmarknet (via API)
Rapeseed & Mustard,2026-02-21,Rs/Qtl,5986.16,Three weeks ago as on 2026-02-21,Agmarknet (via API)
Rapeseed & Mustard,2026-02-28,Rs/Qtl,5799.25,Two weeks ago as on 2026-02-28,Agmarknet (via API)
Rapeseed & Mustard,2026-03-07,Rs/Qtl,5970.01,A week ago as on 2026-03-07,Agmarknet (via API)
Rapeseed & Mustard,2026-03-14,Rs/Qtl,6229.42,Price as on 2026-03-14,Agmarknet (via API)
Sesamum,2023-03-14,Rs/Qtl,9215.5,Three years ago as on 2023-03-14,Agmarknet (via API)
Sesamum,2024-03-14,Rs/Qtl,12311.01,Two years ago as on 2024-03-14,Agmarknet (via API)
Sesamum,2025-03-14,Rs/Qtl,6487.95,An year ago as on 2025-03-14,Agmarknet (via API)
Sesamum,2026-02-14,Rs/Qtl,9221.27,A Month ago as on 2026-02-14,Agmarknet (via API)
Sesamum,2026-02-21,Rs/Qtl,8775.92,Three weeks ago as on 2026-02-21,Agmarknet (via API)
Sesamum,2026-02-28,Rs/Qtl,8742.87,Two weeks ago as on 2026-02-28,Agmarknet (via API)
Sesamum,2026-03-07,Rs/Qtl,8666.06,A week ago as on 2026-03-07,Agmarknet (via API)
Sesamum,2026-03-14,Rs/Qtl,8842.54,Price as on 2026-03-14,Agmarknet (via API)
Soybean,2023-03-14,Rs/Qtl,5030.87,Three years ago as on 2023-03-14,Agmarknet (via API)
Soybean,2024-03-14,Rs/Qtl,4349.9,Two years ago as on 2024-03-14,Agmarknet (via API)
Soybean,2025-03-14,Rs/Qtl,3860.4,An year ago as on 2025-03-14,Agmarknet (via API)
Soybean,2026-02-14,Rs/Qtl,5171.84,A Month ago as on 2026-02-14,Agmarknet (via API)
Soybean,2026-02-21,Rs/Qtl,5075.18,Three weeks ago as on 2026-02-21,Agmarknet (via API)
Soybean,2026-02-28,Rs/Qtl,4954.78,Two weeks ago as on 2026-02-28,Agmarknet (via API)
Soybean,2026-03-07,Rs/Qtl,5262.29,A week ago as on 2026-03-07,Agmarknet (via API)
Soybean,2026-03-14,Rs/Qtl,5231.38,Price as on 2026-03-14,Agmarknet (via API)
Sunflower,2023-03-14,Rs/Qtl,4675.66,Three years ago as on 2023-03-14,Agmarknet (via API)
Sunflower,2024-03-14,Rs/Qtl,4367.98,Two years ago as on 2024-03-14,Agmarknet (via API)
Sunflower,2025-03-14,Rs/Qtl,6112.33,An year ago as on 2025-03-14,Agmarknet (via API)
Sunflower,2026-02-14,Rs/Qtl,6200.3,A Month ago as on 2026-02-14,Agmarknet (via API)
Sunflower,2026-02-21,Rs/Qtl,6006.47,Three weeks ago as on 2026-02-21,Agmarknet (via API)
Sunflower,2026-02-28,Rs/Qtl,6842.0,Two weeks ago as on 2026-02-28,Agmarknet (via API)
Sunflower,2026-03-07,Rs/Qtl,6478.59,A week ago as on 2026-03-07,Agmarknet (via API)
Sunflower,2026-03-14,Rs/Qtl,6492.09,Price as on 2026-03-14,Agmarknet (via API)
