Commodity,CalendarDay,UOM,MandiWholeSalePrice,TimeFrame,Source
Gram,2023-03-14,Rs/Qtl,4782.17,Three years ago as on 2023-03-14,Agmarknet
Gram,2024-03-14,Rs/Qtl,5559.82,Two years ago as on 2024-03-14,Agmarknet
Gram,2025-03-14,Rs/Qtl,5985.26,An year ago as on 2025-03-14,Agmarknet
Gram,2026-02-14,Rs/Qtl,5199.66,A Month ago as on 2026-02-14,Agmarknet
Gram,2026-02-21,Rs/Qtl,5257.72,Three weeks ago as on 2026-02-21,Agmarknet
Gram,2026-02-28,Rs/Qtl,5191.36,Two weeks ago as on 2026-02-28,Agmarknet
Gram,2026-03-07,Rs/Qtl,5077.26,A week ago as on 2026-03-07,Agmarknet
Gram,2026-03-14,Rs/Qtl,5147.31,Price as on 2026-03-14,Agmarknet
Lentil,2023-03-14,Rs/Qtl,5612.32,Three years ago as on 2023-03-14,Agmarknet
Lentil,2024-03-14,Rs/Qtl,5707.5,Two years ago as on 2024-03-14,Agmarknet
Lentil,2025-03-14,Rs/Qtl,7209.22,An year ago as on 2025-03-14,Agmarknet
Lentil,2026-02-14,Rs/Qtl,7253.81,A Month ago as on 2026-02-14,Agmarknet
Lentil,2026-02-21,Rs/Qtl,6645.84,Three weeks ago as on 2026-02-21,Agmarknet
Lentil,2026-02-28,Rs/Qtl,7139.99,Two weeks ago as on 2026-02-28,Agmarknet
Lentil,2026-03-07,Rs/Qtl,6449.62,A week ago as on 2026-03-07,Agmarknet
Lentil,2026-03-14,Rs/Qtl,7245.51,Price as on 2026-03-14,Agmarknet
Moong,2023-03-14,Rs/Qtl,7872.69,Three years ago as on 2023-03-14,Agmarknet
Moong,2024-03-14,Rs/Qtl,8583.61,Two years ago as on 2024-03-14,Agmarknet
Moong,2025-03-14,Rs/Qtl,8100.43,An year ago as on 2025-03-14,Agmarknet
Moong,2026-02-14,Rs/Qtl,6409.76,A Month ago as on 2026-02-14,Agmarknet
Moong,2026-02-21,Rs/Qtl,6755.78,Three weeks ago as on 2026-02-21,Agmarknet
Moong,2026-02-28,Rs/Qtl,7211.49,Two weeks ago as on 2026-02-28,Agmarknet
Moong,2026-03-07,Rs/Qtl,6818.87,A week ago as on 2026-03-07,Agmarknet
Moong,2026-03-14,Rs/Qtl,7024.35,Price as on 2026-03-14,Agmarknet
Tur,2023-03-14,Rs/Qtl,7567.67,Three years ago as on 2023-03-14,Agmarknet
Tur,2024-03-14,Rs/Qtl,9646.89,Two years ago as on 2024-03-14,Agmarknet
Tur,2025-03-14,Rs/Qtl,7734.89,An year ago as on 2025-03-14,Agmarknet
Tur,2026-02-14,Rs/Qtl,7757.97,A Month ago as on 2026-02-14,Agmarknet
Tur,2026-02-21,Rs/Qtl,7749.94,Three weeks ago as on 2026-02-21,Agmarknet
Tur,2026-02-28,Rs/Qtl,7692.16,Two weeks ago as on 2026-02-28,Agmarknet
Tur,2026-03-07,Rs/Qtl,7582.63,A week ago as on 2026-03-07,Agmarknet
Tur,2026-03-14,Rs/Qtl,7507.62,Price as on 2026-03-14,Agmarknet
Urad,2023-03-14,Rs/Qtl,6722.77,Three years ago as on 2023-03-14,Agmarknet
Urad,2024-03-14,Rs/Qtl,8422.35,Two years ago as on 2024-03-14,Agmarknet
Urad,2025-03-14,Rs/Qtl,9343.35,An year ago as on 2025-03-14,Agmarknet
Urad,2026-02-14,Rs/Qtl,7142.3,A Month ago as on 2026-02-14,Agmarknet
Urad,2026-02-21,Rs/Qtl,6894.91,Three weeks ago as on 2026-02-21,Agmarknet
Urad,2026-02-28,Rs/Qtl,6313.16,Two weeks ago as on 2026-02-28,Agmarknet
Urad,2026-03-07,Rs/Qtl,7645.79,A week ago as on 2026-03-07,Agmarknet
Urad,2026-03-14,Rs/Qtl,8003.46,Price as on 2026-03-14,Agmarknet
