Commodity,CalendarDay,UOM,MandiWholeSalePrice,TimeFrame,Source
Onion,2023-03-14,Rs/Qtl,1139.7,Three years ago as on 2023-03-14,Agmarknet
Onion,2024-03-14,Rs/Qtl,1477.07,Two years ago as on 2024-03-14,Agmarknet
Onion,2025-03-14,Rs/Qtl,1853.42,An year ago as on 2025-03-14,Agmarknet
Onion,2026-02-14,Rs/Qtl,1058.45,A Month ago as on 2026-02-14,Agmarknet
Onion,2026-02-21,Rs/Qtl,1096.01,Three weeks ago as on 2026-02-21,Agmarknet
Onion,2026-02-28,Rs/Qtl,980.15,Two weeks ago as on 2026-02-28,Agmarknet
Onion,2026-03-07,Rs/Qtl,1078.55,A week ago as on 2026-03-07,Agmarknet
Onion,2026-03-14,Rs/Qtl,921.79,Price as on 2026-03-14,Agmarknet
Potato,2023-03-14,Rs/Qtl,780.15,Three years ago as on 2023-03-14,Agmarknet
Potato,2024-03-14,Rs/Qtl,1238.48,Two years ago as on 2024-03-14,Agmarknet
Potato,2025-03-14,Rs/Qtl,1136.89,An year ago as on 2025-03-14,Agmarknet
Potato,2026-02-14,Rs/Qtl,604.37,A Month ago as on 2026-02-14,Agmarknet
Potato,2026-02-21,Rs/Qtl,636.18,Three weeks ago as on 2026-02-21,Agmarknet
Potato,2026-02-28,Rs/Qtl,596.53,Two weeks ago as on 2026-02-28,Agmarknet
Potato,2026-03-07,Rs/Qtl,752.43,A week ago as on 2026-03-07,Agmarknet
Potato,2026-03-14,Rs/Qtl,676.13,Price as on 2026-03-14,Agmarknet
Tomato,2023-03-14,Rs/Qtl,1440.43,Three years ago as on 2023-03-14,Agmarknet
Tomato,2024-03-14,Rs/Qtl,1667.3,Two years ago as on 2024-03-14,Agmarknet
Tomato,2025-03-14,Rs/Qtl,818.67,An year ago as on 2025-03-14,Agmarknet
Tomato,2026-02-14,Rs/Qtl,1167.41,A Month ago as on 2026-02-14,Agmarknet
Tomato,2026-02-21,Rs/Qtl,1248.84,Three weeks ago as on 2026-02-21,Agmarknet
Tomato,2026-02-28,Rs/Qtl,1116.64,Two weeks ago as on 2026-02-28,Agmarknet
Tomato,2026-03-07,Rs/Qtl,1500.32,A week ago as on 2026-03-07,Agmarknet
Tomato,2026-03-14,Rs/Qtl,1163.01,Price as on 2026-03-14,Agmarknet
