,,,,Marketwise Price & Arrival Report (14-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 14 Mar, 2026","Price on 13 Mar, 2026","Price on 12 Mar, 2026","Arrival on 14 Mar, 2026","Arrival on 13 Mar, 2026","Arrival on 12 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2139.72,2280.27,2083.33,626.01,623.81,841.87
Cereals,Barley(Jau),2150.00,1995.04,1927.50,1936.90,234.30,422.67,711.96
Cereals,Jowar(Sorghum),3699.00,5075.85,4825.68,5149.69,141.77,333.54,215.02
Cereals,Maize,2400.00,1678.18,1655.47,1662.70,6754.37,16262.96,14370.02
Cereals,Paddy(Common),2369.00,3070.86,3196.66,3184.22,13545.41,18612.10,18718.04
Cereals,Ragi(Finger Millet),4886.00,4107.08,3599.69,5450.00,32.50,63.70,0.20
Cereals,Wheat,2585.00,2381.43,2370.76,2381.31,26568.61,52492.27,53757.29
Fibre Crops,Cotton,7710.00,7499.94,7672.41,7785.24,2938.45,4137.31,6071.53
Oil Seeds,Copra,12100.00,17343.03,17783.58,22997.59,16.50,27.40,39.90
Oil Seeds,Groundnut,7263.00,7398.77,6768.16,7492.92,4076.40,464.74,4116.37
Oil Seeds,Mustard,6200.00,6284.45,6159.80,6160.07,19800.81,37994.40,30889.71
Oil Seeds,Niger Seed(Ramtil),9537.00,9500.00,9000.00,-,6.00,6.60,-
Oil Seeds,Safflower,6540.00,-,4120.90,-,-,94.50,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9378.34,9782.54,9482.84,41.79,68.29,77.34
Oil Seeds,Soyabean,5328.00,5302.98,5321.88,5305.33,2753.65,8329.15,12374.41
Oil Seeds,Sunflower,7721.00,4816.00,-,-,2.00,-,-
Others,Sugarcane,285.00,300.00,300.00,350.34,6.50,6.00,207.00
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7574.82,7395.89,7600.12,2543.89,2816.84,2845.85
Pulses,Bengal Gram(Gram)(Whole),5875.00,5375.00,5266.96,5307.92,3284.80,6757.05,7025.37
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8233.30,8045.05,7644.21,302.84,378.78,424.06
Pulses,Green Gram(Moong)(Whole),8768.00,9159.35,7625.49,7738.48,154.02,410.56,389.59
Pulses,Lentil(Masur)(Whole),7000.00,7489.75,6536.70,6419.20,525.91,2984.07,2440.34
Vegetables,Onion,-,1313.76,1132.07,1127.22,5195.68,16335.08,8346.17
Vegetables,Potato,-,729.51,684.83,694.82,9247.50,9296.16,11546.05
Vegetables,Tomato,-,1246.46,1413.36,1518.44,1976.40,3655.56,3848.67

