State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,Arrival_Date
Maharashtra,Mumbai,Vashi,Tomato,Local,25,50,38,01/01/2026
Maharashtra,Mumbai,Vashi,Onion,Red,15,30,22,01/01/2026
Maharashtra,Mumbai,Vashi,Potato,Jyoti,12,22,17,01/01/2026
Maharashtra,Mumbai,Vashi,Banana,Robusta,18,35,26,01/01/2026
Maharashtra,Mumbai,Vashi,Apple,Shimla,115,175,145,01/01/2026
Maharashtra,Mumbai,Vashi,Spinach,Local,8,18,13,01/01/2026
Maharashtra,Mumbai,Vashi,Carrot,Local,18,32,25,01/01/2026
Maharashtra,Mumbai,Vashi,Capsicum,Green,28,48,38,01/01/2026
Maharashtra,Pune,Pune,Tomato,Local,22,48,35,01/01/2026
Maharashtra,Pune,Pune,Onion,Red,14,32,23,01/01/2026
Maharashtra,Nashik,Nashik,Grapes,Thompson,55,85,70,01/01/2026
Maharashtra,Nashik,Nashik,Onion,Red,16,36,26,01/01/2026
Maharashtra,Mumbai,Vashi,Tomato,Local,28,52,40,15/01/2026
Maharashtra,Mumbai,Vashi,Onion,Red,16,32,24,15/01/2026
Maharashtra,Mumbai,Vashi,Potato,Jyoti,13,23,18,15/01/2026
Maharashtra,Mumbai,Vashi,Banana,Robusta,20,38,29,15/01/2026
Maharashtra,Mumbai,Vashi,Apple,Shimla,118,178,148,15/01/2026
Maharashtra,Mumbai,Vashi,Spinach,Local,9,19,14,15/01/2026
Maharashtra,Mumbai,Vashi,Carrot,Local,20,34,27,15/01/2026
Maharashtra,Mumbai,Vashi,Capsicum,Green,30,50,40,15/01/2026
Maharashtra,Pune,Pune,Tomato,Local,25,50,38,15/01/2026
Maharashtra,Pune,Pune,Onion,Red,15,33,24,15/01/2026
Maharashtra,Nashik,Nashik,Grapes,Thompson,58,88,73,15/01/2026
Maharashtra,Ratnagiri,Ratnagiri,Mango,Alphonso,95,145,120,15/01/2026
Maharashtra,Mumbai,Vashi,Tomato,Local,30,55,42,01/02/2026
Maharashtra,Mumbai,Vashi,Onion,Red,18,35,26,01/02/2026
Maharashtra,Mumbai,Vashi,Potato,Jyoti,14,24,19,01/02/2026
Maharashtra,Mumbai,Vashi,Banana,Robusta,22,40,31,01/02/2026
Maharashtra,Mumbai,Vashi,Apple,Shimla,120,180,150,01/02/2026
Maharashtra,Mumbai,Vashi,Spinach,Local,10,20,15,01/02/2026
Maharashtra,Mumbai,Vashi,Carrot,Local,22,36,29,01/02/2026
Maharashtra,Mumbai,Vashi,Capsicum,Green,32,52,42,01/02/2026
Maharashtra,Pune,Pune,Tomato,Local,28,52,40,01/02/2026
Maharashtra,Pune,Pune,Onion,Red,16,35,25,01/02/2026
Maharashtra,Nashik,Nashik,Grapes,Thompson,60,90,75,01/02/2026
Maharashtra,Nashik,Nashik,Onion,Red,17,37,27,01/02/2026
Maharashtra,Ratnagiri,Ratnagiri,Mango,Alphonso,100,150,125,01/02/2026
Maharashtra,Nagpur,Nagpur,Orange,Nagpur,38,75,56,01/02/2026
Maharashtra,Mumbai,Vashi,Tomato,Local,32,58,45,15/02/2026
Maharashtra,Mumbai,Vashi,Onion,Red,19,37,28,15/02/2026
Maharashtra,Mumbai,Vashi,Potato,Jyoti,15,25,20,15/02/2026
Maharashtra,Mumbai,Vashi,Banana,Robusta,24,42,33,15/02/2026
Maharashtra,Mumbai,Vashi,Apple,Shimla,122,182,152,15/02/2026
Maharashtra,Mumbai,Vashi,Spinach,Local,11,21,16,15/02/2026
Maharashtra,Mumbai,Vashi,Carrot,Local,24,38,31,15/02/2026
Maharashtra,Mumbai,Vashi,Capsicum,Green,34,54,44,15/02/2026
Maharashtra,Pune,Pune,Tomato,Local,30,54,42,15/02/2026
Maharashtra,Pune,Pune,Onion,Red,17,36,26,15/02/2026
Maharashtra,Nashik,Nashik,Grapes,Thompson,62,92,77,15/02/2026
Maharashtra,Ratnagiri,Ratnagiri,Mango,Alphonso,105,155,130,15/02/2026
Maharashtra,Mumbai,Vashi,Tomato,Local,35,60,47,01/03/2026
Maharashtra,Mumbai,Vashi,Onion,Red,20,38,29,01/03/2026
Maharashtra,Mumbai,Vashi,Potato,Jyoti,15,25,20,01/03/2026
